MFI_ID	BIC	HOST	NAME	BOX	ADDRESS	POSTAL	CITY	CATEGORY	DOMICILE	HEAD_NAME	HEAD_ID	RESERVE	EXEMPT
AT00100		AT	Oesterreichische Nationalbank	61	Otto Wagner-Platz 3	1090	Wien	Central Bank				No	No
AT19800	OEEXATW1XXX	AT	"Österreichischer Exportfonds" GmbH	25	Strauchgasse 1-3	1010	Wien	Credit Institution				Yes	No
AT20320	ASPKAT2LXXX	AT	Allgemeine Sparkasse Oberösterreich Bankaktiengesellschaft	92	Promenade 11-13	4020	Linz/Donau	Credit Institution				Yes	No
AT19330	AIAGATWW	AT	Allianz Investmentbank Aktiengesellschaft	9	Hietzinger Kai 101-105	1130	Wien	Credit Institution				Yes	No
AT36791	ALPEAT22XXX	AT	Alpenbank Aktiengesellschaft	754	Kaiserjägerstraße 9	6020	Innsbruck	Credit Institution				Yes	No
AT52000	HAABAT2K	AT	Austrian Anadi Bank AG	517	Domgasse 5	9020	Klagenfurt	Credit Institution				Yes	No
AT19370	AUTOATW1XXX	AT	Autobank Aktiengesellschaft		Ungargasse 64/3/403	1030	Wien	Credit Institution				Yes	No
AT14000	BAWAATWW	AT	BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft	171	Georg-Coch-Platz 2	1018	Wien	Credit Institution				Yes	No
AT19750	BAWOATW1XXX	AT	BAWAG P.S.K. Wohnbaubank Aktiengesellschaft		Georg Coch-Platz 2	1018	Wien	Credit Institution				Yes	No
AT17000	BFKKAT2K	AT	BKS Bank AG		St.Veiter Ring 43	9020	Klagenfurt	Credit Institution				Yes	No
AT19390	BMASAT21XXX	AT	BMW Austria Bank GmbH	283	Siegfried-Marcus-Straße 24	5020	Salzburg	Credit Institution				Yes	No
AT18100	GEBAATWWXXX	AT	BNP Paribas Fortis SA/NV Niederlassung Österreich		Herrengasse 1-3	1010	Wien	Credit Institution	BE	BNP Paribas Fortis SA	BE0403199702	Yes	No
AT19970	BRASATWWXXX	AT	Banco do Brasil Aktiengesellschaft	135	Galaxy Tower, Praterstraße 31/4. OG	1020	Wien	Credit Institution				Yes	No
AT19720		AT	Bank Austria Wohnbaubank AG	67000	Lassallestraße 1	1020	Wien	Credit Institution				Yes	No
AT19140	GUTBATWWXXX	AT	Bank Gutmann Aktiengesellschaft	546	Schwarzenbergplatz 16	1010	Wien	Credit Institution				Yes	No
AT19220	WISMATWWXXX	AT	Bank Winter & Co. AG	878	Singerstraße 10	1010	Wien	Credit Institution				Yes	No
AT16000	BTVAAT22	AT	Bank für Tirol und Vorarlberg Aktiengesellschaft	573	Stadtforum 1	6020	Innsbruck	Credit Institution				Yes	No
AT19280	RZKTAT2KBTB	AT	Bank für Trient und Bozen AG, Niederlassung Innsbruck		Wilhelm Greil Straße 4	6020	Innsbruck	Credit Institution				Yes	No
AT18130	BWFBATW1XXX	AT	Bank für Ärzte und Freie Berufe Aktiengesellschaft	9	Kolingasse 4	1090	Wien	Credit Institution				Yes	No
AT19400	BOTKATWXXXX	AT	Bank of Tokyo-Mitsubishi UFJ (Holland) N.V. Zweigniederlassung Wien	51	Schwarzenbergplatz 5/3.2	1030	Wien	Credit Institution	NL	Bank of Tokyo-Mitsubishi UFJ (Holland) N.V.	NL512	Yes	No
AT19530	SPAEAT2S	AT	Bankhaus Carl Spängler & Co. Aktiengesellschaft	41	Schwarzstraße 1	5020	Salzburg	Credit Institution				Yes	No
AT19380	DENEATW1XXX	AT	Bankhaus Denzel Aktiengesellschaft		Erdbergstraße 189-193	1030	Wien	Credit Institution				Yes	No
AT19520	KRECAT2GXXX	AT	Bankhaus Krentschker & Co. Aktiengesellschaft	846	Am Eisernen Tor 3	8010	Graz	Credit Institution				Yes	No
AT19190	BSSWATWW	AT	Bankhaus Schelhammer & Schattera Aktiengesellschaft	618	Goldschmiedgasse 3	1010	Wien	Credit Institution				Yes	No
AT75910	PSFAATW1XXX	AT	Banque PSA Finance Niederlassung Österreich	204	Vienna Twin Tower Wienerbergstraße 11	1100	Wien	Credit Institution	FR	Banque PSA finance	FR13168	Yes	No
AT19950	WUBUAT21	AT	Bausparkasse Wüstenrot Aktiengesellschaft	155	Alpenstraße 70	5020	Salzburg	Credit Institution				Yes	No
AT24012	BAOSATWW	AT	Bausparkasse der österreichischen Sparkassen Aktiengesellschaft	169	Beatrixgasse 27	1030	Wien	Credit Institution				Yes	No
AT19120	SPBAATWWXXX	AT	Brüll Kallmus Bank AG		Burgring 16	8010	Graz	Credit Institution				Yes	No
AT19600	RSBUAT2KXXX	AT	CAPITAL BANK - GRAWE GRUPPE AG	922	Burgring 16	8010	Graz	Credit Institution				Yes	No
AT18140	CITIATWXXXX	AT	Citibank International Limited - Austria Branch		Kärntner Ring 11-13/7/2/3	1010	Wien	Credit Institution	GB	Citibank International Limited	GB0835	Yes	No
AT19675	COBAATWXXXX	AT	Commerzbank AG Niederlassung Wien	148	Hietzinger Kai 101-105	1130	Wien	Credit Institution	DE	COMMERZBANK Aktiengesellschaft	DE00003	Yes	No
AT19620	CBMUAT21XXX	AT	Commerzialbank Mattersburg im Burgenland Aktiengesellschaft		Judengasse 11	7210	Mattersburg	Credit Institution				Yes	No
AT19470	CRESATWWXXX	AT	Credit Suisse (Luxembourg) S.A. Zweigniederlassung Österreich		Kärntner Ring 11-13	1010	Wien	Credit Institution				Yes	No
AT19650	ESBKATWW	AT	DenizBank AG	85	Thomas-Klestil-Platz 1	1030	Wien	Credit Institution				Yes	No
AT19100	DEUTATWWXXX	AT	Deutsche Bank Aktiengesellschaft Filiale Wien	8	Fleischmarkt 1	1010	Wien	Credit Institution	DE	DEUTSCHE BANK AKTIENGESELLSCHAFT	DE00001	Yes	No
AT19999	SOPPATWWXXX	AT	Deutsche Bank Österreich AG	237	Stock im Eisen-Platz 3	1010	Wien	Credit Institution				Yes	No
AT20112	GIBAAT21	AT	Die Zweite Wiener Vereins-Sparcasse		Glockengasse 3	1020	Wien	Credit Institution				Yes	No
AT20602	DOSPAT2D	AT	Dornbirner Sparkasse Bank AG	18	Bahnhofstraße 2	6850	Dornbirn	Credit Institution				Yes	No
AT20111	GIBAATWWXXX	AT	Erste Bank der oesterreichischen Sparkassen AG	162	Graben 21	1010	Wien	Credit Institution				Yes	No
AT20100	GIBAATWGXXX	AT	Erste Group Bank AG	162	Graben 21	1010	Wien	Credit Institution				Yes	No
AT19945	ARABATWWXXX	AT	Europe Arab Bank plc	100	Mahlerstraße 7, Top 15/16	1010	Wien	Credit Institution	GB	Europe Arab Bank plc	GB1126	Yes	No
AT19340	EUAAATWWXXX	AT	European American Investment Bank Aktiengesellschaft	229	Wallnerstraße 4	1010	Wien	Credit Institution				Yes	No
AT19840	FITTATW1XXX	AT	FCA Bank GmbH		Schönbrunner Straße 297-307	1120	Wien	Credit Institution				Yes	No
AT19915	FFBKDEFFAUT	AT	FIL Fondsbank GmbH Zweigniederlassung Wien	2222	Mariahilferstraße 36	1070	Wien	Credit Institution	DE	FIL Fondsbank GmbH	DE05785	Yes	No
AT19965	FCRBAT21	AT	Ford Bank Austria, Zweigniederlassung der FCE BANK PLC	2	Fürbergstraße 51	5020	Salzburg	Credit Institution	GB	FCE Bank plc	GB1190	Yes	No
AT18400	BGENATWW	AT	Generali Bank AG	320	Landskrongasse 1-3	1010	Wien	Credit Institution				Yes	No
AT52300	HSEEAT2KXXX	AT	HYPO GROUP ALPE ADRIA AG		Alpen-Adria-Platz 1	9020	Klagenfurt am Wörthersee	Credit Institution				Yes	No
AT53100	HYINAT22	AT	HYPO NOE Gruppe Bank AG		Hypogasse 1	3100	St.Pölten	Credit Institution				Yes	No
AT53000	HYPNATWW	AT	HYPO NOE Landesbank AG	351	Hypogasse 1	3100	St.Pölten	Credit Institution				Yes	No
AT57000	HYPTAT22	AT	HYPO TIROL BANK AG		Meraner Straße 8	6020	Innsbruck	Credit Institution				Yes	No
AT51000	EHBBAT2E	AT	HYPO-BANK BURGENLAND Aktiengesellschaft	44	Neusiedler Straße 33	7000	Eisenstadt	Credit Institution				Yes	No
AT19250	DIRAAT2S	AT	Hellobank BNP Paribas Austria AG	150	Elisabethstraße 22	5020	Salzburg	Credit Institution				Yes	No
AT47050	VOHGATW1XXX	AT	IMMO-BANK Aktiengesellschaft	26	Stadiongasse 10	1010	Wien	Credit Institution				Yes	No
AT19360	INGBATWWXXX	AT	ING BANK N.V. Zweigniederlassung Wien ING BANK N.V. Vienna Branch	152	Praterstraße 31, 5.Stock Galaxy Tower	1020	Wien	Credit Institution	NL	ING Bank N.V.	NL163	Yes	No
AT19210	INGDAT21XXX	AT	ING-DiBa Direktbank Austria Niederlassung der ING-DiBa AG		Galaxy Tower, Praterstraße 31	1020	Wien	Credit Institution	DE	ING-DiBa AG	DE00067	Yes	No
AT19290		AT	Joh. Berenberg, Gossler & Co. KG Zweigniederlassung Wien		Schottenring 12	1010	Wien	Credit Institution	DE	Joh. Berenberg, Gossler & Co. KG	DE00223	Yes	No
AT18170	OKOMATWW	AT	KA Finanz AG	327	Türkenstraße 9	1090	Wien	Credit Institution				Yes	No
AT20228	SPKDAT21XXX	AT	KREMSER BANK UND SPARKASSEN AKTIENGESELLSCHAFT	27	Ringstraße 5-7	3500	Krems/Donau	Credit Institution				Yes	No
AT19150	KTBKATWWXXX	AT	Kathrein Privatbank Aktiengesellschaft	174	Wipplingerstraße 25	1010	Wien	Credit Institution				Yes	No
AT19660	INVOATWW	AT	Kommunalkredit Austria AG		Türkenstraße 9	1090	Wien	Credit Institution				Yes	No
AT20706	KSPKAT2KXXX	AT	Kärntner Sparkasse Aktiengesellschaft	516	Neuer Platz 14	9020	Klagenfurt	Credit Institution				Yes	No
AT73800	LEGMATW1XXX	AT	LEASFINANZ Bank GmbH		Operngasse 21	1040	Wien	Credit Institution				Yes	No
AT19460	BLFLATWWXXX	AT	LGT Bank AG, Zweigniederlassung Österreich		Bankgasse 9	1010	Wien	Credit Institution	LI	LGT Bank AG	LI0ECBM00010	Yes	No
AT56000	HYSTAT2GXXX	AT	Landes-Hypothekenbank Steiermark Aktiengesellschaft	889	Radetzkystraße 15-17	8010	Graz	Credit Institution				Yes	No
AT19450	LILAATWWXXX	AT	Liechtensteinische Landesbank (Österreich) AG		Wipplingerstraße 35	1010	Wien	Credit Institution				Yes	No
AT20507	LISPAT21	AT	Lienzer Sparkasse AG		Johannesplatz 6	9900	Lienz	Credit Institution				Yes	No
AT19240	MEINATWWXXX	AT	MEINL BANK Aktiengesellschaft	99	Bauernmarkt 2	1010	Wien	Credit Institution				Yes	No
AT19885		AT	Macquarie Bank International Limited, Vienna Branch		Kärntner Straße 28	1010	Wien	Credit Institution	GB	Macquarie Bank International Ltd	GB1692	Yes	No
AT19490		AT	Mizuho Bank Nederland N.V. Vienna Branch		DC Tower Donau-City-Straße 7	1220	Wien	Credit Institution	NL	Mizuho Bank Nederland N.V.	NL530	Yes	No
AT15000	OBKLAT2L	AT	Oberbank AG	60	Untere Donaulände 28	4020	Linz/Donau	Credit Institution				Yes	No
AT54000	OBLAAT2L	AT	Oberösterreichische Landesbank Aktiengesellschaft	259	Landstraße 38	4010	Linz	Credit Institution				Yes	No
AT10100		AT	Oesterreichische Entwicklungsbank AG		Strauchgasse 1-3	1010	Wien	Credit Institution				Yes	No
AT10000	OEKOATWW	AT	Oesterreichische Kontrollbank Aktiengesellschaft	70	Am Hof 4	1010	Wien	Credit Institution				Yes	No
AT19170	IBAGAT21XXX	AT	PARTNER BANK AKTIENGESELLSCHAFT	106	Goethestraße 1a	4020	Linz/Donau	Credit Institution				Yes	No
AT39101	VSGKAT2K101	AT	POSOJILNICA-BANK BILCOVS-HODISE-SKOFICE, registrirana zadruga z omejenim jamstvom (KREDITBANK LUDMANNSDORF-KEUTSCHACH-SCHIEFLING, registrierte Genossenschaft mit beschränkter Haftung)		Ludmannsdorf 33a	9072	Ludmannsdorf	Credit Institution				Yes	No
AT39102	VSGKAT2K102	AT	POSOJILNICA-BANK BOROVLJE - CELOVEC, registrirana zadruga z omejenim jamstvom (Kreditbank Ferlach - Klagenfurt registrierte Genossenschaft mit beschränkter Haftung)		Hauptplatz 16	9170	Ferlach	Credit Institution				Yes	No
AT34795	RZOOAT2L795	AT	PRIVAT BANK AG der Raiffeisenlandesbank Oberösterreich	455	Europaplatz 1a	4020	Linz/Donau	Credit Institution				Yes	No
AT76030	PLBKATWWXXX	AT	PayLife Bank GmbH	574	Marxergasse 1B	1030	Wien	Credit Institution				Yes	No
AT76000	PORCAT21XXX	AT	Porsche Bank Aktiengesellschaft	91	Vogelweiderstraße 75	5020	Salzburg	Credit Institution				Yes	No
AT39117	VSGKAT2K117	AT	Posojilnica-Bank Pliberk, registrirana zadruga z omejenim jamstvom (Kreditbank Bleiburg, registrierte Genossenschaft mit beschränkter Haftung)		Völkermarkter Straße 1a	9150	Bleiburg	Credit Institution				Yes	No
