"BKAMA"	"Mindestalteranfrage mit Autorisierung"
"BIAMA"	"Mindestalteranfrage rückmelden"
"BIAMAS"	"Mindestalteranfrage Parameter"
"BKAMN"	"Mindestalteranfrage ohne Autorisierung"
"BIAMN"	"Mindestalteranfrage rückmelden"
"BIAMNS"	"Mindestalteranfrage Parameter"
"BKAGA"	"Geburtsdatumanfrage mit Autorisierung"
"BIAGA"	"Geburtsdatum rückmelden"
"BIAGAS"	"Geburtsdatumanfrage Parameter"
"BKAGN"	"Geburtsdatumanfrage ohne Autorisierung"
"BIAGN"	"Geburtsdatum rückmelden"
"BIAGNS"	"Geburtsdatumanfrage Parameter"
"DKTLA"	"TAN-Liste anfordern"
"DITLAS"	"TAN-Liste anfordern Parameter"
"DKTAZ"	"TAN-Liste anzeigen"
"DITAZ"	"TAN-Liste anzeigen Rückmeldung"
"DITAZS"	"TAN-Liste anzeigen Parameter"
"DKTLF"	"TAN-Liste freischalten"
"DITLFS"	"TAN-Liste freischalten Parameter"
"DKTSP"	"TAN-Liste sperren"
"DITSPS"	"TAN-Liste sperren Parameter"
"DKPAE"	"PIN ändern"
"DIPAES"	"PIN ändern Parameter"
"DKPSP"	"PIN sperren"
"DIPSPS"	"PIN sperren Parameter"
"DKPSA"	"PIN-Sperre aufheben"
"DIPSAS"	"PIN-Sperre aufheben Parameter"
"DIPINS"	"BPD-Erweiterung für PIN-TAN-Verfahren"
"DKANA"	"Anmeldename anlegen/ändern"
"DKANL"	"Anmeldename löschen"
"DIANL"	"Anmeldename löschen bestätigen"
"DKFPO"	"Festpreisorder"
"HIADRS"	"Adressänderung Parameter"
"HIAOMS"	"Auslandsüberweisung ohne Meldeteil Parameter"
"HIAUBS"	"Auslandsüberweisung Parameter"
"HIAUE"	"Ausgeführte Überweisungen rückmelden"
"HIAUES"	"Ausgeführte Überweisungen Parameter"
"HIAZK"	"Kartenanzeige"
"HIAZKS"	"Kartenanzeige Parameter"
"HIAZS"	"Alternative ZKA Sicherheitsverfahren Rückmeldung"
"HIAZSS"	"Alternative ZKA Sicherheitsverfahren, Parameter"
"HIBBS"	"Bestand terminierter SEPA-Firmeneinzellastschriften rückmelden"
"HIBBSS"	"Bestand terminierter SEPA-Firmeneinzellastschriften Parameter"
"HIBDDS"	"SEPA-Firmensammellastschrift Parameter"
"HIBDS"	"SEPA-Firmeneinzellastschrift Parameter"
"HIBMB"	"Bestand terminierter SEPA-Firmensammellastschriften rückmelden"
"HIBMBS"	"Bestand terminierter SEPA-Firmensammellastschriften, Parameter"
"HIBME"	"Einreichung terminierter SEPA-Firmensammellastschrift bestätigen"
"HIBMES"	"Terminierte SEPA-Firmensammellastschrift einreichen Parameter"
"HIBMLS"	"Terminierte SEPA-Firmensammellastschrift löschen Parameter"
"HIBPA"	"Bankparameter allgemein"
"HIBSA"	"Änderung terminierter SEPA-Firmeneinzellastschrift bestätigen"
"HIBSAS"	"Terminierte SEPA-Firmeneinzellastschrift ﾊndern Parameter"
"HIBSE"	"Einreichung terminierter SEPA-Firmeneinzellastschrift bestätigen"
"HIBSES"	"Terminierte SEPA-Firmeneinzellastschrift einreichen Parameter"
"HIBSLS"	"Terminierte SEPA-Firmeneinzellastschrift löschen Parameter"
"HICAN"	"Kontoumsätze rückmelden/neue Umsätze camt"
"HICANS"	"Kontoumsätze/neu camt Parameter"
"HICAZ"	"Kontoumsätze rückmelden/Zeitraum camt"
"HICAZS"	"Kontoumsätze/Zeitraum camt Parameter"
"HICCMS"	"SEPA-Sammelüberweisung Parameter"
"HICCSS"	"SEPA Einzelüberweisung Parameter"
"HICDA"	"SEPA-Dauerauftragsänderungsvormerkungen rückmelden"
"HICDAS"	"SEPA-Dauerauftragsänderungsvormerkungen Parameter"
"HICDB"	"SEPA-Dauerauftragsbestand rückmelden"
"HICDBS"	"SEPA-Dauerauftragsbestand Parameter"
"HICDDS"	"SEPA-Sammellastschrift Parameter"
"HICDE"	"SEPA-Dauerauftragseinrichtung bestätigen"
"HICDES"	"SEPA-Dauerauftrag einrichten Parameter"
"HICDLS"	"SEPA-Dauerauftrag löschen Parameter"
"HICDN"	"SEPA-Dauerauftragsänderung bestätigen"
"HICDNS"	"SEPA-Dauerauftrag ändern Parameter"
"HICDSS"	"Lastschrift Parameter"
"HICDU"	"SEPA-Dauerauftragsaussetzung bestätigen"
"HICDUS"	"SEPA-Dauerauftrag aussetzen Parameter"
"HICMB"	"Bestand terminierter SEPA-Sammelüberweisungen rückmelden"
"HICMBS"	"Bestand terminierter SEPA-Sammelüberweisungen Parameter"
